1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1481,-0.03468277,1.788741E-11,-9.819732E-07,NaN,NaN,NaN,NaN,NaN,
1483,-0.01391472,2.533256E-11,-9.819225E-07,NaN,NaN,NaN,NaN,NaN,
1485,0.008215928,3.085134E-11,-9.818608E-07,NaN,NaN,NaN,NaN,NaN,
1487,0.02957914,3.600567E-11,-9.817888E-07,NaN,NaN,NaN,NaN,NaN,
1489,0.0480605,3.822706E-11,-9.817123E-07,NaN,NaN,NaN,NaN,NaN,
1491,0.06179623,3.973692E-11,-9.816329E-07,NaN,NaN,NaN,NaN,NaN,
1493,0.06940804,3.777584E-11,-9.815574E-07,NaN,NaN,NaN,NaN,NaN,
1495,0.07020681,3.432227E-11,-9.814887E-07,NaN,NaN,NaN,NaN,NaN,
1497,0.06414555,2.927206E-11,-9.814302E-07,NaN,NaN,NaN,NaN,NaN,
1499,0.05180376,2.319793E-11,-9.813838E-07,NaN,NaN,NaN,NaN,NaN,
1501,0.03426212,1.634285E-11,-9.81351E-07,NaN,NaN,NaN,NaN,NaN,
1503,0.01341577,1.026872E-11,-9.813306E-07,NaN,NaN,NaN,NaN,NaN,
1505,-0.008730544,4.611099E-12,-9.813214E-07,NaN,NaN,NaN,NaN,NaN,
1507,-0.03004676,-3.870414E-13,-9.813222E-07,NaN,NaN,NaN,NaN,NaN,
1509,-0.04834018,-3.458815E-12,-9.81329E-07,NaN,NaN,NaN,NaN,NaN,
1511,-0.06182531,-4.656286E-12,-9.813383E-07,NaN,NaN,NaN,NaN,NaN,
1513,-0.06915522,-3.319978E-12,-9.81345E-07,NaN,NaN,NaN,NaN,NaN,
1515,-0.06964074,1.001331E-12,-9.81343E-07,0.025119,-0.04835355,-0.01275852,-1.079324E-11,-1.105157E-11,
1517,-0.06533364,4.906128E-12,-9.813332E-07,NaN,NaN,NaN,NaN,NaN,
1519,-0.05881818,9.956333E-12,-9.813133E-07,NaN,NaN,NaN,NaN,NaN,
1521,-0.04993773,1.268101E-11,-9.812879E-07,NaN,NaN,NaN,NaN,NaN,
1523,-0.03908384,1.639491E-11,-9.812551E-07,NaN,NaN,NaN,NaN,NaN,
1525,-0.02671072,2.023029E-11,-9.812146E-07,NaN,NaN,NaN,NaN,NaN,
1527,-0.0131786,2.357974E-11,-9.811674E-07,NaN,NaN,NaN,NaN,NaN,
1529,0.0007607341,2.744983E-11,-9.811125E-07,NaN,NaN,NaN,NaN,NaN,
1531,0.01476272,3.026128E-11,-9.81052E-07,NaN,NaN,NaN,NaN,NaN,
1533,0.02816954,3.210087E-11,-9.809878E-07,NaN,NaN,NaN,NaN,NaN,
1535,0.04043302,3.336776E-11,-9.809211E-07,NaN,NaN,NaN,NaN,NaN,
1537,0.05122426,3.484291E-11,-9.808514E-07,NaN,NaN,NaN,NaN,NaN,
1539,0.05991677,3.359337E-11,-9.807842E-07,NaN,NaN,NaN,NaN,NaN,
1541,0.06622862,3.510323E-11,-9.80714E-07,NaN,NaN,NaN,NaN,NaN,
1543,0.06994055,3.406195E-11,-9.80646E-07,NaN,NaN,NaN,NaN,NaN,
1545,0.07091161,3.130256E-11,-9.805833E-07,NaN,NaN,NaN,NaN,NaN,
1547,0.06911046,3.057367E-11,-9.805221E-07,NaN,NaN,NaN,NaN,NaN,
1549,0.06456843,2.84564E-11,-9.804653E-07,NaN,NaN,NaN,NaN,NaN,
1551,0.05752045,2.463837E-11,-9.80416E-07,NaN,NaN,NaN,NaN,NaN,
1553,0.04817013,2.13757E-11,-9.803732E-07,NaN,NaN,NaN,NaN,NaN,
1555,0.03687771,1.781799E-11,-9.803376E-07,NaN,NaN,NaN,NaN,NaN,
1557,0.02423833,1.485034E-11,-9.803078E-07,NaN,NaN,NaN,NaN,NaN,
1559,0.01056525,1.146619E-11,-9.80285E-07,NaN,NaN,NaN,NaN,NaN,
1561,-0.003452391,7.110169E-12,-9.802708E-07,NaN,NaN,NaN,NaN,NaN,
1563,-0.0173604,4.472262E-12,-9.802618E-07,NaN,NaN,NaN,NaN,NaN,
1565,-0.03059494,2.146738E-12,-9.802575E-07,NaN,NaN,NaN,NaN,NaN,
1567,-0.04251385,4.633369E-13,-9.802566E-07,NaN,NaN,NaN,NaN,NaN,
1569,-0.05285089,-4.217503E-13,-9.802574E-07,NaN,NaN,NaN,NaN,NaN,
1571,-0.06105787,-6.820706E-13,-9.802587E-07,NaN,NaN,NaN,NaN,NaN,
1573,-0.06680588,-8.729716E-13,-9.802606E-07,NaN,NaN,NaN,NaN,NaN,
1575,-0.06989133,2.947052E-14,-9.802604E-07,NaN,NaN,NaN,NaN,NaN,
1577,-0.07023591,1.712872E-12,-9.80257E-07,NaN,NaN,NaN,NaN,NaN,
1579,-0.06780827,3.552465E-12,-9.8025E-07,NaN,NaN,NaN,NaN,NaN,
1581,-0.0627024,6.728367E-12,-9.802365E-07,NaN,NaN,NaN,NaN,NaN,
1583,-0.05510624,1.056375E-11,-9.802153E-07,NaN,NaN,NaN,NaN,NaN,
1585,-0.04520775,1.446854E-11,-9.801864E-07,NaN,NaN,NaN,NaN,NaN,
1587,-0.0336334,1.793947E-11,-9.801505E-07,NaN,NaN,NaN,NaN,NaN,
1589,-0.02069644,2.144511E-11,-9.801076E-07,NaN,NaN,NaN,NaN,NaN,
1591,-0.006882407,2.496811E-11,-9.800577E-07,NaN,NaN,NaN,NaN,NaN,
1593,0.007119577,2.731099E-11,-9.800031E-07,NaN,NaN,NaN,NaN,NaN,
1595,0.02096494,3.031334E-11,-9.799425E-07,NaN,NaN,NaN,NaN,NaN,
1597,0.03388624,3.23959E-11,-9.798777E-07,NaN,NaN,NaN,NaN,NaN,
1599,0.04555455,3.381899E-11,-9.7981E-07,NaN,NaN,NaN,NaN,NaN,
1601,0.05543739,3.454788E-11,-9.797409E-07,NaN,NaN,NaN,NaN,NaN,
1603,0.06306487,3.562386E-11,-9.796697E-07,NaN,NaN,NaN,NaN,NaN,
1605,0.06823338,3.531148E-11,-9.79599E-07,NaN,NaN,NaN,NaN,NaN,
1607,0.07072366,3.380163E-11,-9.795315E-07,NaN,NaN,NaN,NaN,NaN,
1609,0.07042608,3.187526E-11,-9.794677E-07,NaN,NaN,NaN,NaN,NaN,
1611,0.06738762,2.954974E-11,-9.794086E-07,NaN,NaN,NaN,NaN,NaN,
1613,0.06170226,2.654738E-11,-9.793555E-07,NaN,NaN,NaN,NaN,NaN,
1615,0.05357359,2.340619E-11,-9.793087E-07,NaN,NaN,NaN,NaN,NaN,
